Species,Group,TL (m),Mc (kg),logMC,0.45,0.61,0.68,0.75,MR,log of MR,Calc MR,Calc value
Balaenoptera_musculus,Rorqual,25.2,93000,4.968482949,45.64451722,42.63463631,28.0046919,18.50348554,0.75,1.267253545,,
Balaenoptera_huge,Rorqual,33,246000,5.390935107,15.00251859,13.86067639,12.35222799,9.807367669,0.75,0.991552457,,
Balaenoptera_giganto,Rorqual,41,417255.326,5.620401889,4.673527496,4.559504078,4.379269809,3.98912526,0.75,0.600877674,,
Phocoena_phocaena,Odontocete,1.4,33,1.51851394,8.567906033,5.301322013,4.252105635,3.394082107,0.75,0.530722344,0.75,0.600949372
Grampus_greiseus,Odontocete,3,350,2.544068044,22.57853646,9.465952297,6.378914879,4.277043903,0.75,0.631143708,0.75,0.326716205
Mesoplodon_densirostris,Odontocete,4.1,860,2.934498451,3.372862695,1.164536989,0.728180272,0.454738447,0.75,-0.342238326,0.75,0.222315114
Globicephala_macrorhynchus,Odontocete,4.3,980,2.991226076,4.960580729,2.650441527,1.850826353,1.243338117,0.75,0.094589248,0.75,0.207146147
Globicephala_melas,Odontocete,5,1200,3.079181246,15.00394606,5.811904821,3.654533161,2.293860151,0.75,0.360566937,0.75,0.183626935
Orcinus_orca,Odontocete,6,3000,3.477121255,10.54799306,7.431432923,5.684073811,4.026059476,0.75,0.604880186,0.75,0.077217776
Berardius_bairdii,Odontocete,10.5,11900,4.075546961,4.272548747,0.833642262,0.736199448,0.393866239,0.75,-0.404651243,0.75,-0.082801257
Physeter_macrocephalus,Odontocete,12.3,19300,4.285557309,9.043113744,1.45274102,1.558211678,0.833642262,0.75,-0.079020277,0.75,-0.138958024
Balaena_mysticetus,Balaenid,11.7,22600,4.354108439,2.421560918,1.938743646,1.517576561,1.034442397,0.75,0.014706312,0.75,-0.157288597
Eubalaena_glacialis,Balaenid,11.6,34100,4.532754379,2.824019204,2.197841002,1.679489823,1.114418271,0.75,0.047048224,0.75,-0.205058521
