Order,Family,Genus,Species,TL (m),M (kg),Prey W (g),Percent,Energy (kJ/g),Energy (kJ),E_divesurf_med,MR exponent,Total_Energy_in (J),Feeding_E_out (J),DiveSurf_E_out (J),Total_E_out (J),,,,,
Odontoceti,Delphinidae,Grampus,griseus,3,350,160,7.3,4.01,639.9,9.89,0.75,2021006,4410,200001,204411,,,,,
Odontoceti,Delphinidae,Grampus,griseus,3,350,35,1.8,2.65,92.2,1.43,0.75,291328,4410,200001,204411,,,,,
Odontoceti,Ziphiidae,Mesoplodon,densirostris,4.1,860,122,42.9,1.69,206.6,0.45,0.75,4078231,35893,8932408,8968301,,,,,
Odontoceti,Ziphiidae,Mesoplodon,densirostris,4.1,860,57,42.9,2.65,151.5,0.33,0.75,2989866,35893,8932408,8968301,,,,,
Odontoceti,Ziphiidae,Mesoplodon,densirostris,4.1,860,248,14.3,3.08,763.4,1.68,0.75,15068653,35893,8932408,8968301,,,,,
Odontoceti,Delphinidae,Orcinus,orca,6,3000,275,1.9,5.63,1548,0.50,0.75,3666785,2347258,4975149,7322407,,,,,
Odontoceti,Delphinidae,Orcinus,orca,6,3000,284,0.5,4.58,1303,0.42,0.75,3086766,2347258,4975149,7322407,,,,,
Odontoceti,Delphinidae,Orcinus,orca,6,3000,426,2.0,4.57,1945,0.63,0.75,4608222,2347258,4975149,7322407,,,,,
Odontoceti,Delphinidae,Orcinus,orca,6,3000,567,12.5,4.57,2588,0.84,0.75,6129678,2347258,4975149,7322407,,,,,
Odontoceti,Delphinidae,Orcinus,orca,6,3000,708,20.0,4.56,3230,1.04,0.75,7651134,2347258,4975149,7322407,,,,,
Odontoceti,Delphinidae,Orcinus,orca,6,3000,775,4.7,5.74,4445,1.44,0.75,10530253,2347258,4975149,7322407,,,,,
Odontoceti,Delphinidae,Orcinus,orca,6,3000,849,12.5,4.56,3872,1.25,0.75,9172590,2347258,4975149,7322407,,,,,
Odontoceti,Delphinidae,Orcinus,orca,6,3000,990,2.0,4.56,4515,1.46,0.75,10694046,2347258,4975149,7322407,,,,,
Odontoceti,Delphinidae,Orcinus,orca,6,3000,1132,0.5,4.56,5157,1.67,0.75,12215502,2347258,4975149,7322407,,,,,
Odontoceti,Delphinidae,Orcinus,orca,6,3000,2125,21.7,5.86,12445,4.03,0.75,29480446,2347258,4975149,7322407,,,,,
Odontoceti,Delphinidae,Orcinus,orca,6,3000,3325,18.9,5.98,19893,6.44,0.75,47123370,2347258,4975149,7322407,,,,,
Odontoceti,Delphinidae,Orcinus,orca,6,3000,3425,2.9,6.24,21385,6.92,0.75,50655919,2347258,4975149,7322407,,,,,
Odontoceti,Phocoenidae,Phocoaena,Phocaena,1.4,33,2,78.0,4.42,10.5,3.39,0.75,24974,530,6828,7358,,,,,
Odontoceti,Phocoenidae,Phocoaena,Phocaena,1.4,33,5,13.8,4.79,22.7,6.97,0.75,53777,888,6828,7716,,,,,
Odontoceti,Phocoenidae,Phocoaena,Phocaena,1.4,33,19,4.9,5.55,103.4,28.94,0.75,244955,1635,6828,8463,,,,,
Odontoceti,Phocoenidae,Phocoaena,Phocaena,1.4,33,73,2.4,6.30,462.3,118.65,0.75,1095139,2402,6828,9230,,,,,
Odontoceti,Phocoenidae,Phocoaena,Phocaena,1.4,33,289,0.8,7.06,2037.3,482.27,0.75,4825937,3178,6828,10007,,,,,
Odontoceti,Physeteridae,Physter,macrocephalus,12.3,19300,24000,0.3,2.65,63600.0,1.69,0.75,50218560,714635,28917625,29632260,,,,,
Odontoceti,Physeteridae,Physter,macrocephalus,12.3,19300,8000,4.9,4.01,32080.0,7.01,0.75,278634048,7860986,31882011,39742997,,,,,
Odontoceti,Physeteridae,Physter,macrocephalus,12.3,19300,2000,0.6,4.01,8020.0,1.75,0.75,69658512,7860986,31882011,39742997,,,,,
