ID,Grouping,Group,Species,TADL (min),O2 store,Prey W (g),Prey E  (kJ),logPreyE,E feeding (kJ),logE feeding,Eff_max,logEff_max),TL (m),Mc (kg),# dives,MXD (m),Depth (m),DT_max (min),DT_max-TADL,DT_max-TADL+25,log of that,DT_med (min),BTM_max (min),BTM_med (min),BTM_max/DT,BTM_med/DT,FE_max,FE_med,FE/DT max,FE/DT med,ST_max (min),ST_med (min),log FE max
bp150619-3a,Balaenopteridae,Rorqual,Balaenoptera_physalus,23,2495,129240,379966,5.58,2832.20,3.45,57.15705965,1.76,20.2,53000,2,85.62,85.61,4.07,-18.94,6.07,0.78,3.09,2.21,2.21,0.54,0.54,3,2,0.74,0.61,2.11,1.82,0.48
bp15_075a,Balaenopteridae,Rorqual,Balaenoptera_physalus,23,2495,129240,379966,5.58,2832.20,3.45,57.15705965,1.76,20.2,53000,23,57.44,41.20,7.48,-15.52,9.48,0.98,6.03,5.63,3.46,0.83,0.60,6,4,1.11,0.71,2.98,1.29,0.78
bp15_229a,Balaenopteridae,Rorqual,Balaenoptera_physalus,23,2495,129240,379966,5.58,2832.20,3.45,57.15705965,1.76,20.2,53000,33,97.80,57.83,8.59,-14.41,10.59,1.02,5.49,6.44,3.39,0.83,0.66,6,3,0.99,0.75,6.15,1.44,0.78
bp15_235a,Balaenopteridae,Rorqual,Balaenoptera_physalus,23,2495,129240,379966,5.58,2832.20,3.45,57.15705965,1.76,20.2,53000,6,67.52,50.39,6.87,-16.13,8.87,0.95,2.43,4.41,1.84,0.66,0.63,4,2.5,1.04,0.92,3.74,0.73,0.60
bp15_236a,Balaenopteridae,Rorqual,Balaenoptera_physalus,23,2495,129240,379966,5.58,2832.20,3.45,57.15705965,1.76,20.2,53000,17,107.51,72.83,7.97,-15.03,9.97,1.00,5.46,5.66,3.33,0.77,0.62,6,2,0.83,0.50,3.43,1.47,0.78
bp160609-36,Balaenopteridae,Rorqual,Balaenoptera_physalus,23,2495,129240,379966,5.58,2832.20,3.45,57.15705965,1.76,20.2,53000,2,106.64,86.29,8.12,-14.88,10.12,1.01,7.88,3.54,3.15,0.44,0.40,4,3,0.49,0.38,2.04,1.75,0.60
bp160614-3b,Balaenopteridae,Rorqual,Balaenoptera_physalus,23,2495,129240,379966,5.58,2832.20,3.45,57.15705965,1.76,20.2,53000,5,76.50,55.83,5.16,-17.84,7.16,0.85,4.79,3.29,2.41,0.67,0.51,3,3,0.69,0.58,1.63,1.44,0.48
bp160615-3c,Balaenopteridae,Rorqual,Balaenoptera_physalus,23,2495,129240,379966,5.58,2832.20,3.45,57.15705965,1.76,20.2,53000,1,59.68,59.68,8.92,-14.08,10.92,1.04,8.92,1.17,1.17,0.13,0.13,2,2,0.22,0.22,1.20,1.20,0.30
bp160728-25,Balaenopteridae,Rorqual,Balaenoptera_physalus,23,2495,129240,379966,5.58,2832.20,3.45,57.15705965,1.76,20.2,53000,25,148.42,108.35,8.39,-14.61,10.39,1.02,5.83,5.52,4.05,0.79,0.68,8,6,1.17,0.97,3.68,2.43,0.90
bp160912,Balaenopteridae,Rorqual,Balaenoptera_physalus,23,2495,129240,379966,5.58,2832.20,3.45,57.15705965,1.76,20.2,53000,219,359.31,40.57,13.53,-9.47,15.53,1.19,4.18,8.36,2.93,0.89,0.56,9,3,1.36,0.80,29.33,1.27,0.95
