Family,Genus,Species,TL (m),M (kg),Prey W (g),Percent,Energy (kJ/g),Energy (kJ),E_divesurf_med,E_divesurf_max,MR exponent,,,,,,,,,,,,,
Physeteridae,Physter,macrocephalus,12.3,19300,1000,0.0,2.65,2650,1.45,1.69,0.61,,,,,,,,,,,,,
Physeteridae,Physter,macrocephalus,12.3,19300,1000,21.0,3.08,3080,1.69,1.96,0.61,,,,,,,,,,,,,
Physeteridae,Physter,macrocephalus,12.3,19300,1000,29.6,2.65,2650,1.45,1.69,0.61,,,,,,,,,,,,,
Physeteridae,Physter,macrocephalus,12.3,19300,800,9.4,2.31,1848,1.94,2.65,0.61,,,,,,,,,,,,,
Physeteridae,Physter,macrocephalus,12.3,19300,700,1.1,2.31,1617,1.70,2.32,0.61,,,,,,,,,,,,,
Physeteridae,Physter,macrocephalus,12.3,19300,600,21.0,4.53,2718,2.86,3.90,0.61,,,,,,,,,,,,,
Physeteridae,Physter,macrocephalus,12.3,19300,500,1.4,2.31,1155,1.21,1.66,0.61,,,,,,,,,,,,,
Physeteridae,Physter,macrocephalus,12.3,19300,500,0.0,3.77,1885,1.98,2.71,0.61,,,,,,,,,,,,,
Physeteridae,Physter,macrocephalus,12.3,19300,300,0.1,2.31,693,0.73,0.99,0.61,,,,,,,,,,,,,
Physeteridae,Physter,macrocephalus,12.3,19300,200,0.3,3.78,756,0.79,1.08,0.61,,,,,,,,,,,,,
Physeteridae,Physter,macrocephalus,12.3,19300,200,4.9,1.69,338,0.36,0.49,0.61,,,,,,,,,,,,,
Physeteridae,Physter,macrocephalus,12.3,19300,100,0.6,2.31,231,0.24,0.33,0.61,,,,,,,,,,,,,
Physeteridae,Physter,macrocephalus,12.3,19300,800,2.1,2.65,2310,2.23,3.04,0.61,,,,,,,,,,,,,
Ziphiidae,Ziphius,cavirostris,6.6,2900,194,1.0,1.69,328,0.30,0.25,0.61,,,,,,,,,,,,,
Ziphiidae,Ziphius,cavirostris,6.6,2900,2284,0.8,3.78,8634,7.84,6.43,0.61,,,,,,,,,,,,,
Ziphiidae,Ziphius,cavirostris,6.6,2900,2210,0.5,4.01,8862,1.36,1.12,0.61,,,,,,,,,,,,,
Ziphiidae,Ziphius,cavirostris,6.6,2900,92,0.4,1.82,167,8.20,6.73,0.61,,,,,,,,,,,,,
Ziphiidae,Ziphius,cavirostris,6.6,2900,75,0.4,1.69,127,3.44,2.82,0.61,,,,,,,,,,,,,
Ziphiidae,Ziphius,cavirostris,6.6,2900,109,1.5,1.69,184,1.41,1.15,0.61,,,,,,,,,,,,,
Ziphiidae,Ziphius,cavirostris,6.6,2900,61,0.7,2.65,162,10.81,8.86,0.61,,,,,,,,,,,,,
Ziphiidae,Ziphius,cavirostris,6.6,2900,1262,0.5,4.01,5061,8.99,7.37,0.61,,,,,,,,,,,,,
Ziphiidae,Ziphius,cavirostris,6.6,2900,192,14.1,3.78,726,15.28,12.53,0.61,,,,,,,,,,,,,
Ziphiidae,Ziphius,cavirostris,6.6,2900,50,7.4,1.69,85,5.32,4.36,0.61,,,,,,,,,,,,,
Ziphiidae,Ziphius,cavirostris,6.6,2900,79,5.0,1.69,134,1.46,1.20,0.61,,,,,,,,,,,,,
Ziphiidae,Ziphius,cavirostris,6.6,2900,46,3.6,2.65,122,0.52,0.43,0.61,,,,,,,,,,,,,
Ziphiidae,Ziphius,cavirostris,6.6,2900,308,3.5,1.82,561,0.40,0.32,0.61,,,,,,,,,,,,,
Ziphiidae,Ziphius,cavirostris,6.6,2900,46,0.0,2.31,106,1.20,0.98,0.61,,,,,,,,,,,,,
Ziphiidae,Ziphius,cavirostris,6.6,2900,1183,0.0,2.31,2733,0.94,0.77,0.61,,,,,,,,,,,,,
Ziphiidae,Ziphius,cavirostris,6.6,2900,154,16.8,3.08,474,0.70,0.57,0.61,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,physalus,20.2,47047,2740,1.9,2.94,8054,3.35,3.36,0.45,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,physalus,20.2,47047,6000,7.5,2.94,17640,7.27,7.31,0.45,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,physalus,20.2,47047,12900,12.1,2.94,37926,15.64,15.72,0.45,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,physalus,20.2,47047,27840,17.8,2.94,81850,33.74,33.92,0.45,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,physalus,20.2,47047,60000,22.7,2.94,176400,72.73,73.11,0.45,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,physalus,20.2,47047,129240,22.7,2.94,379966,156.65,157.47,0.45,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,physalus,20.2,47047,278520,12.8,2.94,818849,337.59,339.37,0.45,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,physalus,20.2,47047,600000,2.5,2.94,1764000,727.26,731.08,0.45,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,musculus,25.2,97000,6160,1.9,2.94,18109,2.10,2.11,0.45,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,musculus,25.2,97000,13400,7.4,2.94,39396,4.56,4.60,0.45,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,musculus,25.2,97000,28810,12.2,2.94,84701,9.81,9.88,0.45,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,musculus,25.2,97000,62176,17.3,2.94,182797,21.18,21.33,0.45,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,musculus,25.2,97000,134000,23.0,2.94,393960,45.64,45.97,0.45,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,musculus,25.2,97000,288636,22.8,2.94,848590,98.33,99.05,0.45,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,musculus,25.2,97000,622028,12.9,2.94,1828762,211.91,213.45,0.45,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,musculus,25.2,97000,1340000,2.5,2.94,3939600,456.52,459.82,0.45,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,huge,33,246000,17158,1.5,2.94,50445,1.59,1.60,0.45,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,huge,33,246000,37300,6.1,2.94,109662,3.46,3.49,0.45,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,huge,33,246000,80195,10.7,2.94,235773,7.43,7.50,0.45,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,huge,33,246000,173072,17.1,2.94,508832,16.04,16.18,0.45,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,huge,33,246000,373000,24.5,2.94,1096620,34.57,34.88,0.45,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,huge,33,246000,803442,24.2,2.94,2362119,74.46,75.12,0.45,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,huge,33,246000,1731466,13.3,2.94,5090510,160.47,161.89,0.45,,,,,,,,,,,,,
